mode,global_family,global_bb,global_m,global_map,local_family,local_bb,local_m,local_map,sem_family,sem_bb,sem_map,top_k,precision,recall,f3,total_time
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,50,0.11687217339006095,0.42388711636646614,0.29701191703630947,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,60,0.026078280854962888,0.7837861104655891,0.18831958671570412,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,60,0.2675094215526911,0.2415201123625971,0.22535718708495922,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,60,0.10071914186878307,0.4433312184404382,0.2915620456535378,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,70,0.02281358383097494,0.7987700026106014,0.17114311775929042,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,70,0.2525261054493456,0.2584685274035446,0.23510802517091284,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,70,0.08798594799728868,0.46198449414465936,0.2857526671909937,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,80,0.020301016735669922,0.8108197088567362,0.15688663358268198,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,80,0.23437976419168824,0.27312702682259593,0.24351344422494206,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,80,0.07819155420524043,0.47940629929922807,0.2794979617975365,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,90,0.01823019678706426,0.8167114035166938,0.1442546012342006,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,90,0.21861661000054378,0.28213963668747855,0.24670313365201205,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,90,0.07069656337068171,0.4939160822068815,0.2726634669269334,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,100,0.016593324538888867,0.8236039900967803,0.13386136744825203,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,100,0.20625405199646776,0.2913606176073947,0.25040678948886747,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,100,0.06432267243661567,0.5039818543835207,0.2648454347698712,1737.3854269981384
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-so400m-patch14-224,0.2947986761698188,10,0.0945557629530678,0.4880429944016174,0.3152633399003104,1319.9276576042175
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-so400m-patch14-224,0.2947986761698188,10,0.25173160173160175,0.08392084662854335,0.0882104147761202,1319.9276576042175
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-so400m-patch14-224,0.2947986761698188,10,0.2988394789734075,0.21479130749566197,0.20967374529671992,1319.9276576042175
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-so400m-patch14-224,0.2947986761698188,20,0.05610091799151918,0.5793646353699352,0.2734180185979736,1319.9276576042175
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-so400m-patch14-224,0.2947986761698188,20,0.29719581014223867,0.12605081315213096,0.1293073212309006,1319.9276576042175
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-so400m-patch14-224,0.2947986761698188,20,0.21650820601031814,0.28128577844307884,0.2517273250116139,1319.9276576042175
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-so400m-patch14-224,0.2947986761698188,30,0.040660902550476774,0.6251304175118871,0.23525849046230524,1319.9276576042175
